block_id,run_id,method,valid,run_order,trace_hash,config_hash,model_hashes,policy_hash,start_utc,end_utc,duration_s,energy_j,mean_power_w,preceding_idle_power_w,tn,fp,fn,tp,f1,recall,fpr,balanced_accuracy,escalation_fraction,scheduler_latency_mean_ms,scheduler_latency_p50_ms,scheduler_latency_p95_ms,detector_latency_mean_ms,detector_latency_p95_ms,end_to_end_completion_mean_s,end_to_end_completion_p95_s,final_queue_backlog_rows,max_temperature_c,mean_temperature_c,throttle,undervoltage,missing_samples,missing_windows,failure_reason,replacement_for
1,r1v2-b01-p1-Static-MedRF,Static-MedRF,true,1,cb0dda0952256272f840020fbcdb3848e629d50e3465d9b4ce8363ec22751300,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788878857.303891,1788879357.308473,500.00495324999997,1366.6412202431159,2.7332553634919736,2.673260297557766,32282,518,68,17132,0.9831850789096126,0.996046511627907,0.01579268292682927,0.9901269143505389,,0.010877886,0.010833,0.011575849999999997,33.118493144,38.5399584,0.04008136110561463,0.04547067749745111,0,33.102,31.386786,false,false,0,0,,r1-b01-p1-Static-MedRF
1,r1v2-b01-p2-Static-LightLR,Static-LightLR,true,2,cb0dda0952256272f840020fbcdb3848e629d50e3465d9b4ce8363ec22751300,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788879444.108504,1788879944.1263301,499.9932615,1363.0890107445475,2.726214762685452,2.6733272301798108,32342,458,585,16615,0.9695678814226942,0.9659883720930232,0.013963414634146342,0.9760124787294384,,0.010478486,0.010315,0.012315949999999999,1.489684852,1.5557724499999999,0.008392721896761941,0.008587824924643427,0,34.076,31.3488,false,false,0,0,,
1,r1v2-b01-p3-Tabular-Q,Tabular-Q,true,3,cb0dda0952256272f840020fbcdb3848e629d50e3465d9b4ce8363ec22751300,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",a89c52c9839fe4c97bbd81cdc97cd9d4bd58c9dab8a42dda728c225855501c17,1788880031.0737631,1788880531.084775,500.0069084789998,1363.2791466397177,2.7265206210585293,2.6747743408431646,32342,458,585,16615,0.9695678814226942,0.9659883720930232,0.013963414634146342,0.9760124787294384,,0.11787194,0.117905,0.12102334999999999,1.4248425120000001,1.5002045499999999,0.008423370089194577,0.008621016766892352,0,33.589,31.407239999999998,false,false,0,0,,
1,r1v2-b01-p4-ConfidenceCascade_0p3_0p7,ConfidenceCascade_0p3_0p7,true,4,cb0dda0952256272f840020fbcdb3848e629d50e3465d9b4ce8363ec22751300,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788880618.095627,1788881118.1004539,500.0008499999997,1366.8960268324836,2.7337874062263783,2.6922519483923297,32329,471,122,17078,0.9829347607125385,0.992906976744186,0.014359756097560976,0.9892736103233125,0.01388,0.009740234,0.009685,0.010426,22.531227958000002,34.44728905,0.029491817042584443,0.04134482028880484,0,34.076,31.537756,false,false,0,0,,
2,r1v2-b02-p1-Static-LightLR,Static-LightLR,true,1,156cad7b285d5c31f12f0bd56bd2a810aa2000f5d56bfdb658c3bbcbb0be4228,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788881205.141149,1788881705.099157,500.00669606249994,1359.0512290316988,2.718066057382999,2.6741486297528723,32336,464,523,16677,0.9712588451122566,0.969593023255814,0.014146341463414635,0.9777233408961996,,0.010479946,0.010444,0.0112229,1.394293598,1.4476026499999999,0.00835697412294394,0.008486280419128888,0,33.102,31.395552,false,false,0,0,,
2,r1v2-b02-p2-ConfidenceCascade_0p3_0p7,ConfidenceCascade_0p3_0p7,true,2,156cad7b285d5c31f12f0bd56bd2a810aa2000f5d56bfdb658c3bbcbb0be4228,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788881792.079267,1788882292.0750551,499.99986268750035,1366.2966978422917,2.732594146123249,2.6961894660612358,32326,474,110,17090,0.98320101254171,0.9936046511627907,0.014451219512195123,0.9895767158252978,0.0128,0.010309448,0.010352,0.010963,21.097121402,32.75301854999999,0.02807333087954612,0.040284316229872275,0,33.589,31.53386,false,false,0,0,,
2,r1v2-b02-p3-Static-MedRF,Static-MedRF,true,3,156cad7b285d5c31f12f0bd56bd2a810aa2000f5d56bfdb658c3bbcbb0be4228,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788882378.894603,1788882878.895021,500.0046891464999,1369.6724290030165,2.7393191678682567,2.673433086651034,32280,520,63,17137,0.9832745216168919,0.9963372093023256,0.015853658536585366,0.9902417753828701,,0.011060034,0.011,0.012,32.006819574,38.567858449999996,0.03901523165416802,0.04561891268622276,0,33.102,31.61178,false,false,0,0,,
2,r1v2-b02-p4-Tabular-Q,Tabular-Q,true,4,156cad7b285d5c31f12f0bd56bd2a810aa2000f5d56bfdb658c3bbcbb0be4228,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",a89c52c9839fe4c97bbd81cdc97cd9d4bd58c9dab8a42dda728c225855501c17,1788882965.870015,1788883465.9176111,499.99681979100023,1363.0321929507952,2.7260817249208618,2.692651823066277,32336,464,523,16677,0.9712588451122566,0.969593023255814,0.014146341463414635,0.9777233408961996,,0.119492554,0.119276,0.1220928,1.463457962,1.50886855,0.008460954623576981,0.008581011132355343,0,33.589,31.508536,false,false,0,0,,
3,r1v2-b03-p1-ConfidenceCascade_0p3_0p7,ConfidenceCascade_0p3_0p7,true,1,b769823767c2fd2e0355f76bab2f22df90f82f025114a689e5df2cfb660371c0,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788883552.9083169,1788884052.9135911,500.00137368750075,1367.697993825372,2.735388472512835,2.6743820368186833,32347,453,111,17089,0.9837660468597088,0.993546511627907,0.013810975609756098,0.9898677680090755,0.0139,0.00977328,0.009741,0.0104829,22.045670732,34.39534165,0.028990691029739536,0.04126741872050843,0,33.589,31.591326000000002,false,false,0,0,,
3,r1v2-b03-p2-Static-MedRF,Static-MedRF,true,2,b769823767c2fd2e0355f76bab2f22df90f82f025114a689e5df2cfb660371c0,7f250acda2a8460eed6b95b0de1bba910ad8588e14f0fa6bcb0588fcad8702d6,"{""HeavyMLP"": ""2999008343be15af0374bc647af6764e010bebc841b953b0307a10ebbc26b8a0"", ""LightLR"": ""a6cafb1426058f0268dd9da065fa3848b95c0a5531b3ec5c1b65987e5ca5268f"", ""MedRF"": ""35bc9b8674c5ae3b7c163ab29d7fd3d3abfe61dfaa1d26323530f9d14a2b2688"", ""TinyDT"": ""9941090e54203557d63b2f6117622bcba3535019796f7dfefb955293d085c2f2""}",,1788884139.989881,1788884639.995351,500.00148268750036,1370.8574837093727,2.741706837229831,2.673583851104989,32278,522,60,17140,0.9833056049566865,0.9965116279069768,0.015914634146341464,0.9902984968803177,,0.011090224000000001,0.011074,0.0118159,31.801710788000005,38.4453866,0.03878301776957596,0.045398261605350855,0,33.589,31.662428,false,false,0,0,,
