campaign,attempt_id,stage,method,block_id,run_order,valid,formal_statistics,replacement_for,failure_reason
R1,r1-b01-p1-Static-MedRF,r1,Static-MedRF,1,1,false,false,,KeyboardInterrupt()
R1,r1-b01-p1-Static-MedRF-idle,idle,Static-MedRF,1,1,true,false,,
R1,r1v2-b01-p1-Static-MedRF,r1,Static-MedRF,1,1,true,true,r1-b01-p1-Static-MedRF,
R1,r1v2-b01-p1-Static-MedRF-idle,idle,Static-MedRF,1,1,true,false,,
R1,r1v2-b01-p2-Static-LightLR,r1,Static-LightLR,1,2,true,true,,
R1,r1v2-b01-p2-Static-LightLR-idle,idle,Static-LightLR,1,2,true,false,,
R1,r1v2-b01-p3-Tabular-Q,r1,Tabular-Q,1,3,true,true,,
R1,r1v2-b01-p3-Tabular-Q-idle,idle,Tabular-Q,1,3,true,false,,
R1,r1v2-b01-p4-ConfidenceCascade_0p3_0p7,r1,ConfidenceCascade_0p3_0p7,1,4,true,true,,
R1,r1v2-b01-p4-ConfidenceCascade_0p3_0p7-idle,idle,ConfidenceCascade_0p3_0p7,1,4,true,false,,
R1,r1v2-b02-p1-Static-LightLR,r1,Static-LightLR,2,1,true,true,,
R1,r1v2-b02-p1-Static-LightLR-idle,idle,Static-LightLR,2,1,true,false,,
R1,r1v2-b02-p2-ConfidenceCascade_0p3_0p7,r1,ConfidenceCascade_0p3_0p7,2,2,true,true,,
R1,r1v2-b02-p2-ConfidenceCascade_0p3_0p7-idle,idle,ConfidenceCascade_0p3_0p7,2,2,true,false,,
R1,r1v2-b02-p3-Static-MedRF,r1,Static-MedRF,2,3,true,true,,
R1,r1v2-b02-p3-Static-MedRF-idle,idle,Static-MedRF,2,3,true,false,,
R1,r1v2-b02-p4-Tabular-Q,r1,Tabular-Q,2,4,true,true,,
R1,r1v2-b02-p4-Tabular-Q-idle,idle,Tabular-Q,2,4,true,false,,
R1,r1v2-b03-p1-ConfidenceCascade_0p3_0p7,r1,ConfidenceCascade_0p3_0p7,3,1,true,true,,
R1,r1v2-b03-p1-ConfidenceCascade_0p3_0p7-idle,idle,ConfidenceCascade_0p3_0p7,3,1,true,false,,
R1,r1v2-b03-p2-Static-MedRF,r1,Static-MedRF,3,2,true,true,,
R1,r1v2-b03-p2-Static-MedRF-idle,idle,Static-MedRF,3,2,true,false,,
R1,r1v2-b03-p3-Static-LightLR,r1,Static-LightLR,3,3,true,true,,
R1,r1v2-b03-p3-Static-LightLR-idle,idle,Static-LightLR,3,3,true,false,,
R1,r1v2-b03-p4-Tabular-Q,r1,Tabular-Q,3,4,true,true,,
R1,r1v2-b03-p4-Tabular-Q-idle,idle,Tabular-Q,3,4,true,false,,
R1,r1v2-b04-p1-Static-MedRF,r1,Static-MedRF,4,1,true,true,,
R1,r1v2-b04-p1-Static-MedRF-idle,idle,Static-MedRF,4,1,true,false,,
R1,r1v2-b04-p2-Tabular-Q,r1,Tabular-Q,4,2,true,true,,
R1,r1v2-b04-p2-Tabular-Q-idle,idle,Tabular-Q,4,2,true,false,,
R1,r1v2-b04-p3-ConfidenceCascade_0p3_0p7,r1,ConfidenceCascade_0p3_0p7,4,3,true,true,,
R1,r1v2-b04-p3-ConfidenceCascade_0p3_0p7-idle,idle,ConfidenceCascade_0p3_0p7,4,3,true,false,,
R1,r1v2-b04-p4-Static-LightLR,r1,Static-LightLR,4,4,true,true,,
R1,r1v2-b04-p4-Static-LightLR-idle,idle,Static-LightLR,4,4,true,false,,
R1,r1v2-b05-p1-Tabular-Q,r1,Tabular-Q,5,1,true,true,,
R1,r1v2-b05-p1-Tabular-Q-idle,idle,Tabular-Q,5,1,true,false,,
R1,r1v2-b05-p2-ConfidenceCascade_0p3_0p7,r1,ConfidenceCascade_0p3_0p7,5,2,true,true,,
R1,r1v2-b05-p2-ConfidenceCascade_0p3_0p7-idle,idle,ConfidenceCascade_0p3_0p7,5,2,true,false,,
R1,r1v2-b05-p3-Static-MedRF,r1,Static-MedRF,5,3,true,true,,
R1,r1v2-b05-p3-Static-MedRF-idle,idle,Static-MedRF,5,3,true,false,,
R1,r1v2-b05-p4-Static-LightLR,r1,Static-LightLR,5,4,true,true,,
R1,r1v2-b05-p4-Static-LightLR-idle,idle,Static-LightLR,5,4,true,false,,
R1,r1v2-b06-p1-Static-LightLR,r1,Static-LightLR,6,1,true,true,,
R1,r1v2-b06-p1-Static-LightLR-idle,idle,Static-LightLR,6,1,true,false,,
R1,r1v2-b06-p2-ConfidenceCascade_0p3_0p7,r1,ConfidenceCascade_0p3_0p7,6,2,true,true,,
R1,r1v2-b06-p2-ConfidenceCascade_0p3_0p7-idle,idle,ConfidenceCascade_0p3_0p7,6,2,true,false,,
R1,r1v2-b06-p3-Tabular-Q,r1,Tabular-Q,6,3,true,true,,
R1,r1v2-b06-p3-Tabular-Q-idle,idle,Tabular-Q,6,3,true,false,,
